Book_title,price,shipping_price,book_quantity,case_book_type,book_condition,Author,book_language,published_by,published_year,seller_name,seller_location,seller_rate
The Golden Goose (Young Puffin Story Books),US$ 1.18,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Near fine,Dick King-Smith,Language: English,"Puffin,",2003,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
Children's Books Research: A Practical Guide to Techniques and Sources,US$ 1.31,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Near fine,"Chester, Tessa Rose",Language: English,"Thimble Press,",1989,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
"I Heart You: 2 Fill-in Books (1 for You, 1 for Me)",US$ 2.07,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: As new,Abrams Noterie,Language: English,"U.S.A.: Harry N. Abrams, Inc.,",2015,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
Kinsman (Orbit Books),US$ 2.07,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Bova, Ben",Language: English,"Futura Publications,",1979,Totalrewindltd,"Queensbury, United Kingdom",(5-star seller)
Putting Up Roots 1998 Tor Books Paperback,US$ 7.99,,Quantity: 1 available,Used - Softcover,Condition: Very good,Charles Sheffield,Language: English,"Tor Books,",1998,EMCBooks&Comics LLC,"Front Royal, VA, U.S.A.",(5-star seller)
More Truth: Searching for Certainty in an Uncertain World (more BOOKS).,US$ 1.38,US$ 6.69 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Very good,Kristi Mair.,Language: English,"Inter - Varsity Press., U.K.,",2019,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",(4-star seller)
MORE REAL (more BOOKS).,US$ 1.38,US$ 6.69 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Very good,Jon Brown.,Language: English,"Inter - Varsity Press., U.K.,",2019,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",(4-star seller)
Understanding the Death of Jesus (Key books).,US$ 1.38,US$ 6.69 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Near fine,John Eddison.,Language: English,"Scripture Union., U.K.,",1978,"Bethel Books, Hanley","Stoke on Trent, United Kingdom",(4-star seller)
Ding Dong School Books Lot of 5,US$ 9.00,,Quantity: 1 available,Used - Hardcover,Condition: Good,,"Published by
Rand McNally, Chicago, 
1954","Rand McNally, Chicago,",1954,Gary and Laura Maurer Collectibles,"Chicago, IL, U.S.A.",(2-star seller)
Acting Characters (Performance Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Elsam, Paul",Language: English,"Methuen Drama,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Off to the Park! (Tactile Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Hardcover,Condition: Good,Stephen Cheetham,Language: English,"Child's Play (International) Ltd,",2014,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"First, Break All the Rules: What the World's Greatest Managers Do Differently (Simon & Schuster business books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Marcus Buckingham,Language: English,"Simon and Schuster,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Golden Book of Fortune-Telling (Fortune-Telling Books),US$ 4.48,US$ 5.48 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: As new,Carey Jones,Language: English,"Chronicle Books,",2017,Lewes Book Centre,"LEWES East Sussex, ES, United Kingdom",(4-star seller)
A Mouse in My Roof (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Richard Edwards,Language: English,"Puffin Books,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Telling Tales About Dementia: Experiences of Caring A Books on Prescription Title,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Whitman, Lucy, Ed.",Language: English,"Jessica Kingsley Pub,",2009,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Other Worlds (Abacus Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"DAVIES, P.C.W.",Language: English,"ABACUS,",1982,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Freshwater Animals (Clue Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,gwen-allen-joan-denslow,Language: English,"Oxford University Press,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Role Play (Resource Books for Teachers),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 3 available,Used - Softcover,Condition: Good,"Ladousse, Gillian Porter",Language: English,"Oxford University Press,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Guide To Creative Tutorin (Kogan Page Books for Teachers Series),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Adams, Stephen",Language: English,"Routledge,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Sea of Lost Books (Return to the Library of Doom),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Michael Dahl,Language: English,"Raintree,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"A Dictionary of Biology, 6th Edition (Penguin Reference Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Abercrombie, Michael",Language: English,"Penguin Books,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Western Isles Guide Book (Charles Tait Guide Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,Charles Tait,Language: English,"Charles Tait Photographic,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Who's Hat Is That? (First Puzzle Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Alison Boyle,Language: English,"Walker Books,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Hearing the Person With Dementia: Person-Centred Approaches to Communication for Families and Caregivers A Books on Prescription Title,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"McCarthy, Bernie",Language: English,"Jessica Kingsley Pub,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Flower (Ecology Story Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Chris Baines,Language: English,"Frances Lincoln Ltd,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Foundations of Ajax (Books for Professionals by Professionals),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Schutta, Nathaniel",Language: English,"Apress,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Managing Projects Made Simple (Made Simple Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Nickson, David",Language: English,"Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Leading and Supporting Early Years Teams: A practical guide (David Fulton Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,"Price, Deborah",Language: English,"Routledge,",2014,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
What's in the Picture?: Responding to Illustrations in Picture Books,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 3 available,Used - Softcover,Condition: Good,,Language: English,"SAGE Publications Ltd,",1998,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Young Readers and Their Books,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,"Phinn, Gervase",Language: English,"David Fulton Publishers,",2000,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Barnaby/Brittany Little Book: Barnaby Plays Boules (Barnaby Bear Little Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Liz Lewis,Language: English,Geographical Association,,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Barnaby's Trip to Dublin (Barnaby Bear Little Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Liz Lewis,Language: English,"Geographical Association,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Uncharted Journey: Promoting Democracy in the Middle East (Global Policy Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Carothers, Thomas",Language: English,"Carnegie Endowment for Int'l Peace,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Longman Book Project: Fiction: Band 1: Animal Books Cluster: Let's Go into the Jungle (Longman Book Project),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Rod Campbell,Language: English,"Longman,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Silly Jokes (Usborne Joke Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Smith, A.",Language: English,"Usborne Publishing Ltd,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Mega Machines (Young Telegraph Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Fair,Philippa Perry,Language: English,"Two-Can Publishing Ltd,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Baby's Black and White Books Things That Go,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,unknown author,Language: English,Usborne Publishing Ltd,,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Three Billy Goats Gruff (Picture Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Dewan, Ted",Language: English,"Hippo,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Charlie and the Great Glass Elevator (Puffin Story Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Dahl, Roald",Language: English,"Puffin Books,",1986,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
What Do We Know About the Inuit? (Information Books - History - What Do We Know About?),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Bryan Alexander,Language: English,"Macdonald Young Bks,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Estimator's Pocket Book (Routledge Pocket Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Cartlidge, Duncan",Language: English,"Routledge,",2013,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
A Preface to Milton (Preface Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Potter, Lois",Language: English,"Longman Publishing Group,",1971,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Usborne Complete Book of the Microscope (Complete Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,kirsteen-rogers,Language: English,"Edc Pub,",1998,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Selected Poems (Fyfield Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Behn, Aphra",Language: English,Fyfield Books,,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Witch's Daughter (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Nina Bawden,Language: English,"Puffin Books,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Guide to the Prehistoric and Roman Monuments in England and Wales (Abacus Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Very good,Jacquetta Hawkes,Language: English,"Abacus,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Charlotte Sometimes (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Penelope Farmer,Language: English,"Puffin Books,",1993,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Lizzie Dripping (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Cresswell, Helen",Language: English,"Penguin Books, Limited,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"Top Secret: A Handbook of Codes, Ciphers, and Secret Writing (Booklist Editor's Choice. Books for Youth (Awards))",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,"Janeczko, Paul B.",Language: English,"Candlewick,",2004,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Little Book of Maths Songs and Games (Little Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Sally Featherstone,Language: English,"Featherstone Education Ltd,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
De Bono's Thinking Course (Ariel Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"De Bono, Edward",Language: English,"Facts on File,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Gynormous!: The Ultimate Book of Giants (Dolphin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Mitchell, Adrian",Language: English,"Orion Children's Books,",1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Love Shouts and Whispers (Red Fox Poetry Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Vernon Scannell,Language: English,"Red Fox,",1991,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Princess Mirror-Belle and the Flying Horse: Two Books in One,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Donaldson, Julia",Language: English,"Macmillan Children's Books,",2017,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Overcoming Chronic Pain (Overcoming Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Catherine Carus,Language: English,"Robinson Publishing,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
A Traveller in Time (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,ALISON UTTLEY,Language: English,"PUFFIN BOOKS,",1977,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Books the Church Suppressed: Fiction and Truth in The Da Vinci Code,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Green, Michael",Language: English,"Monarch Books,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Nicobobinus (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Terry Jones,Language: English,"Puffin Books,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Print Is Dead: Books in our Digital Age (Macmillan Science),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,"Gomez, J.",Language: English,"Palgrave Macmillan,",2007,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Romans: Fact and Fiction: Adventures in Roman Britain (Fact and Fiction Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,"Place, Robin",Language: English,"Cambridge University Press,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"A Very Short, Fairly Interesting and Reasonably Cheap Book about Studying Leadership (Very Short, Fairly Interesting & Cheap Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Jackson, Brad",Language: English,"Sage Publications Ltd,",2008,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"A Dictionary of Biology, 6th Edition (Penguin Reference Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Abercrombie, Michael",Language: English,"Penguin Books,",1973,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Periodic Table (Abacus Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Primo Levi,Language: English,"Abacus Uk,",1994,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Western Isles Guide Book (Charles Tait Guide Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,Charles Tait,Language: English,"Charles Tait Photographic,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Wild Swans (Redwing Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Hans Christian Andersen,Language: English,"Julia Macrae,",1986,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Puffin Book of Christmas Poems (Puffin Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,Wes Magee,Language: English,"Puffin Books,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Who's Hat Is That? (First Puzzle Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Alison Boyle,Language: English,"Walker Books,",1999,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"Don't You Feel Well, Sam? (Sam Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,Amy Hest,Language: English,"Walker Books,",2002,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Reading Together : Age 2+: 6 Picture Books Plus Fun Follow-Up Activities,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 2 available,Used - Softcover,Condition: Good,Unknown,Language: English,"Walker Books,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Hokey Pokey Did It (Picture story books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Cresswell, Helen",Language: English,"Penguin U S A,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Machine-gunners (M Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,"Westall, Robert",Language: English,Nelson Thornes Ltd,,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Benjamin's Balloon (Picture Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,Alan Baker,Language: English,"Scholastic,",1990,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Hearing the Person With Dementia: Person-Centred Approaches to Communication for Families and Caregivers A Books on Prescription Title,US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"McCarthy, Bernie",Language: English,"Jessica Kingsley Pub,",2011,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Rory McRory (Picture Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Sandra Ann Horn~Bee Willey,Language: English,"Hodder Wayland,",1998,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Annie and the Tiger (Picture Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Kathy Henderson,Language: English,"Scholastic,",1995,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Picnic (Ecology Story Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,"Baines, Chris",Language: English,"Frances Lincoln Publishers Ltd,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"Don't You Feel Well, Sam? (Sam Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Amy Hest,Language: English,"Walker Children's Paperbacks,",2003,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Flower (Ecology Story Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Chris Baines,Language: English,"Frances Lincoln Ltd,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
One Blue Boat (Viking Kestrel Picture Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,Linda Hammond,Language: English,"Viking Children's Books,",1991,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Foundations of Ajax (Books for Professionals by Professionals),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Schutta, Nathaniel",Language: English,"Apress,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
My Very First Mother Goose (Reading Together: Red Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Iona Opie,Language: English,"Walker Bks.,",2001,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Old Boot (Ecology Story Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,Chris Baines,Language: English,"Frances Lincoln Childrens Books,",1989,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
A Weekend with Wendell (Viking Kestrel picture books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Hardcover,Condition: Good,"Kevin, Henkes",Language: English,"Puffin,",1987,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Annie and the Birds (Picture Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Henderson, Kathy",Language: English,"Scholastic Ltd,",1992,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Physical Education in Schools (Books for Teachers Series),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Almond, Len",Language: English,"Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Managing Projects Made Simple (Made Simple Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Nickson, David",Language: English,"Routledge,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Major Film Theories: An Introduction (Galaxy Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 5 available,Used - Softcover,Condition: Good,"Andrew, J. Dudley",Language: English,"Oxford University Press,",1976,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
The Penguin Dictionary of Politics (Penguin reference books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Robertson, David",Language: English,"Penguin,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"A Very Short, Fairly Interesting and Reasonably Cheap Book About Studying Organizations (Very Short, Fairly Interesting & Cheap Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Christopher Grey,Language: English,"SAGE Publications Ltd,",2017,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
"Glass Half-Empty, Glass Half-Full: How Asperger's Syndrome Changed My Life (Lucky Duck Books)",US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Mitchell, Chris",Language: English,"SAGE Publications Ltd,",2005,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Italian (Eyewitness Travel Guides Phrase Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,N/A,Language: English,"Dorling Kindersley,",1997,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Towns and Cities (Opus Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Jones, Emrys",Language: English,"Oxford University Press,",1966,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Selected Poems (Fyfield Books),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,"Davie Comp, Andrew Mellon Professor in Humanities",Language: English,"Carcanet Press,",1985,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
Negotiating (First Books for Business),US$ 1.38,US$ 8.01 shipping Learn more about shipping rates,Quantity: 1 available,Used - Softcover,Condition: Good,Affinity Communications,Language: English,"McGraw-Hill,",1996,Phatpocket Limited,"Waltham Abbey, HERTS, United Kingdom",(5-star seller)
